Deal_ID,Stage,Amount,Open_Date,Close_Date
1,Prospecting,5000,1/1/2023,2/15/2023
2,Qualification,7000,1/5/2023,3/10/2023
3,Needs Analysis,12000,2/1/2023,4/20/2023
4,Proposal,15000,2/15/2023,5/15/2023
5,Negotiation,20000,3/1/2023,6/10/2023
6,Closed Won,25000,3/10/2023,7/1/2023
7,Prospecting,6000,4/1/2023,5/30/2023
8,Qualification,8000,4/5/2023,6/25/2023
9,Needs Analysis,13000,5/1/2023,7/20/2023
10,Proposal,16000,5/15/2023,8/15/2023
11,Negotiation,21000,6/1/2023,9/10/2023
12,Closed Lost,22000,6/10/2023,10/1/2023
